path	historicalReview	checkpointAssessment	assessmentCommit	assessmentBlob	corroborationStatus	corroborationReadLevel	corroborationReadCommit	corroborationReadBlob	corroborationMaterialRole	corroborationReader	corroborationEvidence	corroborationScope	corroborationLimitations
.editorconfig	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CLAIMS_PENDING_DOMAIN_VERIFICATION	623be02339f328b4287aeffb48245b4c8adfc929	d09d9f021c5f50e8f74c7ea4ae85fb5241e705ff	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	d09d9f021c5f50e8f74c7ea4ae85fb5241e705ff	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:2	Complete charset/LF/indent/Kotlin lint/Markdown whitespace rules; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.gitattributes	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	SCOPED_360_CI_ARCHIVE_CORRECTION_INDEPENDENTLY_APPROVED	6995130bcdb2594257c42bed006f7d23f5bc4d6a	00a2f4e9704faf2173d3b20b313347244ae8ee68	FULL_TEXT_CURRENT	FULL_TEXT	8dd65ce3f4e8f0274c24d09a667b11c653d9eb4b	58c24f2b3a76232d9bcb0e7d18d3830ebaa2d530	CURRENT_REPOSITORY_CONTENT	/root/review_223_r1	review-223-r1-read-scope.json; SHA256 3e36a7c6f224e54164053c6b64c44657f6a83ded4eaefc46bd0e59361b209a10	Actual full-text source read at8dd65ce, lines1-21; SHA256 62457820ad2fd8884186648612204c4799671c4d70daedda46b0adb141b36201. Scoped223source review and execution recorded separately; old d823input/read/reopening retained in checkpoint.coverage223RestoredReadBindings.previousRows.	Read scope only, not whole-repository correctness, new product execution, nativeWindows/Mac/alltextcheckout or external acceptance. No later administration/facility source is certified by this read.
.github/CODEOWNERS	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CLAIMS_PENDING_DOMAIN_VERIFICATION	0a6592e0506e36f72908e9fe8f57a50f8b7ba55f	df4ab76a0a4af2dbcdee2d06c48c5f46984fd84a	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	df4ab76a0a4af2dbcdee2d06c48c5f46984fd84a	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:4	Complete catchall owner rule; enforcement settings not inspected; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/ISSUE_TEMPLATE/bug_report.yml	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CLAIMS_PENDING_DOMAIN_VERIFICATION	0a6592e0506e36f72908e9fe8f57a50f8b7ba55f	532624a3879e9e50f0696394e741179d4c74387b	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	532624a3879e9e50f0696394e741179d4c74387b	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:5	Complete form requirements, security reporting redirect and evidence hygiene; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/ISSUE_TEMPLATE/config.yml	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CLAIMS_PENDING_DOMAIN_VERIFICATION	0a6592e0506e36f72908e9fe8f57a50f8b7ba55f	bc822ee8992d5c1c339299bfdb55caa15b540581	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	bc822ee8992d5c1c339299bfdb55caa15b540581	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:6	Complete disabled blank issues and support/security URLs; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/ISSUE_TEMPLATE/feature_request.yml	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CLAIMS_PENDING_DOMAIN_VERIFICATION	0a6592e0506e36f72908e9fe8f57a50f8b7ba55f	77ce5345cd32c69c7152cfec605e94bfee70a79a	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	77ce5345cd32c69c7152cfec605e94bfee70a79a	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:7	Complete problem/proposal/compatibility/alternatives fields; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/PULL_REQUEST_TEMPLATE.md	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CLAIMS_PENDING_DOMAIN_VERIFICATION	0a6592e0506e36f72908e9fe8f57a50f8b7ba55f	5deb2facab4f7aad91e479c259c1aaa92cdb2385	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	5deb2facab4f7aad91e479c259c1aaa92cdb2385	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:8	Complete change/compatibility/verification/external-limit checklist; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/dependabot.yml	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	STATIC_READ_CI_SUPPORT_KNOWN_141_143_PENDING_EXECUTION	c5ad9da3aa4ba31ecaf0f3a59c3ff1a7f26db4a3	0e5f787be026bd0ace27332313fd407529abf5d4	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	0e5f787be026bd0ace27332313fd407529abf5d4	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:9	Complete weekly Gradle/actions inputs and grouped AGP/wrapper updates; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/workflows/ci.yml	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	SCOPED_144_CI_ARCHIVE_CORRECTION_INDEPENDENTLY_APPROVED	6995130bcdb2594257c42bed006f7d23f5bc4d6a	5e0f4170e9ddb2d246aca5a630e293d89b168e31	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	5e0f4170e9ddb2d246aca5a630e293d89b168e31	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:10	Complete job ordering, host wrappers, scope outputs, weekly isolation, guards, action pins and evidence uploads; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
.github/workflows/dependency-review.yml	INITIAL_AUDIT_COMPLETED_RAW_LEDGER_LOST	ISSUE143_SCOPED_CHECKOUT_POLICY_DIFF_TESTS_INDEPENDENT_REVIEW	d18500c939bf3f7cc33f6c980085b1ba7eefebaa	6b6d78f6490ea9859db4d5b52eacc962042d1bc0	FULL_TEXT_CURRENT	FULL_TEXT	d823bb9cc0d187ec746714af67b08904a28331b6	6b6d78f6490ea9859db4d5b52eacc962042d1bc0	CURRENT_REPOSITORY_CONTENT	/root/coverage_inspection/build_config_static	corroboration-build.tsv:11	Complete PR-only/read permission and high threshold; no pull_request_target; static inspection only; no build/test execution	Read scope only; not fresh execution, blanket correctness, repair progress, independent interoperability or external acceptance. No builds, tests, repository-script or workflow execution; per-path limits also appear in scope/callers and corroboration-build-config.md
